"","natal_origin","rear_type_code","Tributary/Origin","05/06","06/07","07/08","08/09","09/10","10/11","11/12","12/13","13/14","14/15","15/16","16/17","17/18","18/19","19/20","20/21","21/22","Total"
"1","Clearwater_River","H","Clearwater R. - H",39,34,50,178,96,683,726,656,322,391,322,571,161,262,77,322,169,5059
"2","Clearwater_River","W","Clearwater R. - W",37,30,49,79,139,200,140,112,87,284,178,82,27,23,45,111,24,1647
"3","Grande_Ronde_River","H","Grande Ronde R. - H",19,104,163,154,1136,623,654,419,390,573,550,367,345,227,157,186,146,6213
"4","Grande_Ronde_River","W","Grande Ronde R. - W",35,16,35,36,65,83,86,64,63,62,67,36,19,19,28,24,9,747
"5","Hood_River","H","Hood R. - H",2,32,106,247,430,227,335,139,149,147,236,107,173,67,103,43,30,2573
"6","Hood_River","W","Hood R. - W",1,13,14,9,30,24,29,40,26,88,78,39,40,30,29,21,23,534
"7","Imnaha_River","H","Imnaha R. - H",32,36,33,33,734,441,392,162,339,408,409,156,164,103,74,95,121,3732
"8","Imnaha_River","W","Imnaha R. - W",38,14,36,124,151,124,143,71,91,129,162,58,37,24,40,53,42,1337
"9","John_Day_River","W","John Day R. - W",67,118,111,245,344,276,286,150,261,242,217,87,80,67,113,71,49,2784
"10","Salmon_River","H","Salmon R. - H",38,20,68,84,1654,1237,1470,967,975,1141,715,428,296,222,198,302,219,10034
"11","Salmon_River","W","Salmon R. - W",17,22,19,49,157,103,126,69,118,147,90,31,18,22,31,50,27,1096
"12","Tucannon_River","H","Tucannon R. - H",59,86,548,423,637,258,166,83,120,144,134,76,69,53,38,21,40,2955
"13","Tucannon_River","W","Tucannon R. - W",35,24,40,14,50,44,50,55,44,59,59,9,25,13,22,30,12,585
"14","Umatilla_River","H","Umatilla R. - H",9,15,60,80,115,76,64,24,16,37,42,28,16,1,1,7,7,598
"15","Umatilla_River","W","Umatilla R. - W",2,10,17,22,13,13,81,68,68,172,278,144,117,62,59,35,53,1214
"16","Walla_Walla_River","H","Walla Walla R. - H",33,35,24,301,413,219,261,121,113,164,114,111,119,98,57,42,49,2274
"17","Walla_Walla_River","W","Walla Walla R. - W",11,11,10,8,61,94,115,89,56,75,70,19,26,20,23,15,23,726
"18","Wenatchee_River","H","Wenatchee R. - H",399,403,351,452,818,525,428,383,184,189,173,24,38,27,20,69,3,4486
"19","Yakima_River","W","Yakima R. - W",15,12,18,17,33,22,40,19,45,78,90,37,43,46,60,50,44,669
"20","Entiat_River","W","Entiat R. - W",0,4,8,8,75,73,55,25,42,66,55,33,8,15,17,12,3,499
"21","Fifteenmile_Creek","W","Fifteenmile Creek - W",0,1,0,12,48,87,96,31,31,38,24,8,17,43,39,6,1,482
"22","Deschutes_River","W","Deschutes R. - W",0,0,38,68,117,114,109,82,180,96,50,40,28,39,45,27,0,1033
"23","Wenatchee_River","W","Wenatchee R. - W",0,0,2,8,71,72,52,32,31,39,43,9,7,3,15,14,8,406
"24","Methow_River","H","Methow R. - H",0,0,0,0,129,58,321,332,296,289,290,107,127,51,33,84,85,2202
"25","Methow_River","W","Methow R. - W",0,0,0,0,42,24,32,18,43,44,51,22,13,7,26,17,19,358
"26","Asotin_Creek","W","Asotin Creek - W",0,0,0,0,0,0,0,45,77,106,57,28,19,15,17,32,19,415
"27","Okanogan_River","H","Okanogan R. - H",0,0,0,0,0,0,0,0,0,142,115,56,78,42,18,51,20,522
